Name;Typ;Alpha (%);Eigenschaften
Ahtanium;Aroma;6;blumig, erdig, harzig, Pinie/Kiefer, stechend, Zitrusfrüchte
Amarillo;Aroma;9;blumig, Orange, würzig, Zitrusfrüchte
Aurora;Aroma;8;hopfig, mild, süßlich
Beata;Aroma;3;Aprikose, Honig, Mandel
Bobeck;Aroma;5;angenehm, hopfig, intensiv, mild
Bramling Cross;Aroma;6;Johannisbeere, mild, würzig
Cascade;Aroma;5;blumig, Grapefruit, parfumartig, würzig, Zitrusfrüchte
Celeia;Aroma;5;angenehm, blumig, mild, würzig
Centennial;Aroma;10;blumig, Zitrusfrüchte
Challenger;Aroma;7;frisch, fruchtig, mild, süßlich, Toffee, würzig, Zitrusfrüchte
Citra;Aroma;12;kräftig, Tropenfrüchte, Zitrusfrüchte
Crystal;Aroma;5;Muskat, Pfeffer, würzig, Zimt
East Kent Golding;Aroma;5;mild, süßlich, würzig
Fuggle;Aroma;4;erdig, mild, süßlich
Glacier;Aroma;2;Aprikose, mild, Pfirsich, süßlich, Zitrusfrüchte
Golding;Aroma;5;mild, süßlich, würzig
Hallertau Blanc;Aroma;10;blumig, fruchtig, Grapefruit, Mango, Stachelbeere, Weißwein
Hallertauer Comet;Aroma;9;Blaubeere
Hallertauer Mittelfrüher;Aroma;4;blumig, fein, mild, würzig
Hallertauer Tradition;Aroma;5;blumig, fein, grasig, würzig
Hersbrucker Spät;Aroma;2;blumig, harmonisch, mild, würzig
Huell Melon;Aroma;7;fruchtig, süßlich, Honigmelone, Erdbeere
Kirin II;Aroma;8;
Liberty;Aroma;4;harzig, mild, süßlich, würzig, Zitrusfrüchte
Lubelski;Aroma;3;fein, grasig, holzig, mild, würzig
Mandarina Bavaria;Aroma;8;fruchtig, Mandarine, würzig, Zitrusfrüchte
Motueka;Aroma;7;fein, Tropenfrüchte, Zitrusfrüchte
Mount Hood;Aroma;5;harzig, mild, süßlich, würzig
New Zealand Hallertauer Aroma;Aroma;9;blumig, Vanille
Opal;Aroma;6;Pfeffer, süßlich, würzig, Zitrusfrüchte
Pacifica (Pacific Hallertau);Aroma;4;blumig, mild, Orange, Zitrusfrüchte
Palisade;Aroma;7;Aprikose, blumig, grasig, harmonisch, mild
Perle;Aroma;6;blumig, fruchtig, harmonisch, mild, süßlich, würzig
Polaris;Aroma;20;Eisbonbon, frisch, fruchtig, intensiv, würzig
Pride of Ringwood;Aroma;8;erdig, holzig, kräuterartig
Progress;Aroma;5;erdig, mild, süßlich, würzig
Riwaka;Aroma;5;kräftig, Zitrusfrüchte
Saazer;Aroma;4;erdig, grasig, hopfig, mild, würzig
Santiam;Aroma;6;blumig, grasig, harmonisch, kräuterartig, mild
Saphir;Aroma;3;blumig, fruchtig, harmonisch, würzig, Zitrusfrüchte
Sladek;Aroma;7;blumig, grasig, harmonisch, kräuterartig, mild, würzig
Smaragd;Aroma;5;blumig, fruchtig, intensiv, süßlich, würzig
Sovereign;Aroma;5;blumig, erdig, mild
Spalter;Aroma;4;blumig, fruchtig, grasig, harmonisch, holzig, mild, würzig
Spalter Select;Aroma;4;blumig, fruchtig, harmonisch, mild, würzig
Sterling;Aroma;4;blumig, kräuterartig, würzig, Zitrusfrüchte
Strisselspalt;Aroma;4;blumig, harmonisch, hopfig, mild, Zitrusfrüchte
Styrian Goldings;Aroma;5;mild, süßlich
Sybilla;Aroma;7;blumig, grasig, hopfig, intensiv
Tettnanger;Aroma;4;blumig, grasig, harmonisch, mild, würzig
Ultra;Aroma;4;blumig, mild, würzig
Vanguard;Aroma;5;blumig, fein, mild, würzig
Whitbread Golding Variety;Aroma;6;fruchtig, hopfig, süßlich
Willamette;Aroma;5;blumig, erdig, fruchtig, mild, süßlich
Admiral;Bitter;14;hopfig, Orange, Zitrusfrüchte
Agnus;Bitter;13;
Apollo;Bitter;17;Grapefruit, hopfig
Bravo;Bitter;15;blumig, fruchtig
Brewers Gold;Bitter;7;fruchtig, harzig, würzig
Bullion;Bitter;7;intensiv, Johannisbeere
Chelan;Bitter;13;angenehm, rein, stechend, Zitrusfrüchte
Columbus/Tomahawk/Zeus (CTZ);Bitter;15;harzig, holzig, Zitrusfrüchte
Eroica;Bitter;12;kräftig, rein
Galaxy;Bitter;14;Passionsfrucht, Zitrusfrüchte
Galena;Bitter;13;angenehm, rein, stechend, Zitrusfrüchte
Green Bullet;Bitter;13;Pinie/Kiefer, Zitrusfrüchte
Hallertauer Bitter;Bitter;11;intensiv, süßlich, würzig
Hallertauer Bitter, frisch;Bitter;2;intensiv, süßlich, würzig
Hallertauer Magnum;Bitter;13;würzig
Hallertauer Merkur;Bitter;12;intensiv, süßlich, würzig
Hallertauer Taurus;Bitter;14;fruchtig, intensiv, Johannisbeere, süßlich
Herkules;Bitter;14;intensiv, würzig
Junga;Bitter;11;hopfig, intensiv
Marynka;Bitter;9;erdig, Lakritz
Millenium;Bitter;15;blumig, harzig, kräuterartig, mild
Newport;Bitter;15;mild
Northern Brewer;Bitter;8;blumig, erdig, fruchtig, harmonisch, holzig, intensiv, würzig
Nugget;Bitter;11;blumig, fruchtig, harzig, intensiv, süßlich, würzig
Nugget (USA);Bitter;13;blumig, fruchtig, harzig, intensiv, süßlich, würzig
Olympic;Bitter;12;mild, würzig, Zitrusfrüchte
Pacific Gem;Bitter;15;Brombeere, Eiche, fruchtig
Pacific Jade;Bitter;13;Pfeffer, Zitrusfrüchte
Satus;Bitter;13;frisch, hopfig, rein, Zitrusfrüchte
Southern Cross;Bitter;12;Pinie/Kiefer, würzig, Zitronenschale, Zitrusfrüchte
Summit;Bitter;16;Grapefruit, Zitrusfrüchte
Sun;Bitter;14;angenehm, intensiv
Super Alpha;Bitter;13;grasig, harzig, Pinie/Kiefer
Super Galena;Bitter;14;angenehm, rein, stechend, Zitrusfrüchte
Target;Bitter;10;hopfig, intensiv
Tillicum;Bitter;13;angenehm, rein, stechend, Zitrusfrüchte
Warrior;Bitter;15;rein
Boadicea;Universal;9;blumig, fruchtig, grasig, würzig, Zitrusfrüchte
Chinook;Universal;12;Pinie/Kiefer, würzig
Cluster;Universal;7;Johannisbeere
El Dorado;Universal;15;Birne, fruchtig, grasig, Melone, süßlich, Tropenfrüchte
First Gold;Universal;7;mild, Muskat, Pfeffer, süßlich, Zimt
Herald;Universal;11;mild, süßlich, Zitrusfrüchte
Horizon;Universal;13;blumig, hopfig, rein, würzig
Nelson Sauvin;Universal;12;fruchtig, Passionsfrucht, Weißwein, Zitrusfrüchte
Northdown;Universal;8;angenehm, harzig, hopfig, mild
Phoenix;Universal;10;mild, würzig
Pilgrim;Universal;11;Honig, hopfig, Pinie/Kiefer, würzig, Zitrusfrüchte
Pioneer;Universal;9;hopfig, Zitrusfrüchte
Premiant;Universal;8;mild, würzig
Pride of Kent;Universal;9;
Simcoe;Universal;13;Aprikose, fruchtig, holzig, Passionsfrucht, Pinie/Kiefer
Sorachi Ace;Universal;11;mild, Zitrusfrüchte
Sticklebract;Universal;12;Pinie/Kiefer, Zitrusfrüchte
Super Pride;Universal;14;erdig, holzig, kräuterartig
